source,file_name,retrieval_url,size_bytes,sha256,redistribution
gutMDisorder export labelled v3 by the service: raw-data disorder-health workbook,gutMDisorder_v3_Rawdata-based_Disorder_Health.xlsx,https://bio-computing.hrbmu.edu.cn/gutMDisorder_api/api/resource/download?fileName=gutMDisorder_v3_Rawdata-based_Disorder_Health.xlsx,622391,a19bc2bd3c0b8f912fb94d4fbcc0a239a3623b345c470b1e83d2298a819d0b3c,not included; affirmative export licence not located
gutMDisorder export labelled v3 by the service: literature disorder-health workbook,gutMDisorder_v3_Literature-based_Disorder_Health.xlsx,https://bio-computing.hrbmu.edu.cn/gutMDisorder_api/api/resource/download?fileName=gutMDisorder_v3_Literature-based_Disorder_Health.xlsx,386783,8120e4b0b5b8bbdb384f374eceffb71b8ece112712a487af7a42302f2174dbb4,not included; affirmative export licence not located
NCBI Taxonomy genus-lineage mapping derived from 503 numeric Taxonomy identifiers,ncbi_taxonomy_mapping.csv,https://www.ncbi.nlm.nih.gov/books/NBK25499/,34922,7a7f3352e0bfb483fb57cb2c64688f75853d49fe3d340164268922dfb239991a,not included; regenerate from official EFetch
Disbiome experiment export,experiment.json,https://disbiome.ugent.be/export,5924394,e3a0609572cd366a9cb40cf185103b9a85473bc9e5fb7e3e539e87e30577ee11,not included; affirmative export licence not located
Disbiome publication-accession lookup,publication_accession_numbers.json,https://disbiome.ugent.be/export,86007,51e6282fdd58e23af8c767785735060c5fc85a9682e0c692cfbbcff44cbf7e4b,not included; affirmative export licence not located
