parent_model_id,outcome,source_outcome,omitted_report_id,omitted_study_label,member_reports,member_cohort_ids,k,pooled_smd,dl_standard_error,dl_ci_low,dl_ci_high,dl_z,dl_p_value,hk_scale,hk_unadjusted_standard_error,hk_unadjusted_t,hk_unadjusted_ci_low,hk_unadjusted_ci_high,hk_unadjusted_p_value,hk_variance_safeguard_applied,hk_standard_error,hk_df,hk_t,hk_ci_low,hk_ci_high,hk_p_value,q,q_df,tau2_dl,i2_pct,estimator,primary_inference,compatibility_inference
AH-ALPHA-01-PRIMARY,Shannon,Shannon,RPT0001,Duan et al. 2019,RPT0015;RPT0008;RPT0007;RPT0004,COH0002;COH0003;COH0004;COH0005,4,-0.6344446393167047,0.2159546366314351,-1.0577079494087518,-0.21118132922465765,-2.9378606971032393,0.003304854831784505,1.1739219371431417,0.2339818347564098,-2.711512370082928,-1.3790792648407435,0.110189986207334,0.07307103724024033,False,0.2339818347564098,3,-2.711512370082928,-1.3790792648407435,0.110189986207334,0.07307103724024033,5.899583682623048,3,0.08923868528966135,49.1489542077967,inverse-variance DerSimonian-Laird random effects,"Hartung-Knapp t interval and two-sided t test with the modified Knapp-Hartung variance safeguard (SE=max[SE_HK, SE_DL])",normal interval and two-sided normal test
AH-ALPHA-01-PRIMARY,Shannon,Shannon,RPT0015,Eom et al. 2023,RPT0001;RPT0008;RPT0007;RPT0004,COH0001;COH0002;COH0003;COH0004,4,-1.0600485226428655,0.4557524586480773,-1.9533069274586774,-0.16679011782705377,-2.32593045309584,0.020022261130891464,1.201407833912896,0.4995445784771724,-2.122029881445919,-2.6498223207420484,0.5297252754563173,0.12394364254637913,False,0.4995445784771724,3,-2.122029881445919,-2.6498223207420484,0.5297252754563173,0.12394364254637913,19.961620520319162,3,0.6961081051597368,84.9711600471201,inverse-variance DerSimonian-Laird random effects,"Hartung-Knapp t interval and two-sided t test with the modified Knapp-Hartung variance safeguard (SE=max[SE_HK, SE_DL])",normal interval and two-sided normal test
AH-ALPHA-01-PRIMARY,Shannon,Shannon,RPT0008,Hasan et al. 2023,RPT0001;RPT0015;RPT0007;RPT0004,COH0001;COH0002;COH0003;COH0005,4,-1.1519435140071275,0.38427478148566235,-1.905108245886025,-0.39877878212823004,-2.9977078109407698,0.0027201833311928272,1.072401415874832,0.3979427287442888,-2.8947469844268636,-2.418374880813905,0.11448785279965001,0.06276990597037169,False,0.3979427287442888,3,-2.8947469844268636,-2.418374880813905,0.11448785279965001,0.06276990597037169,21.923238753956017,3,0.5050124798740174,86.3158904864882,inverse-variance DerSimonian-Laird random effects,"Hartung-Knapp t interval and two-sided t test with the modified Knapp-Hartung variance safeguard (SE=max[SE_HK, SE_DL])",normal interval and two-sided normal test
AH-ALPHA-01-PRIMARY,Shannon,Shannon,RPT0007,Kim et al. 2021,RPT0001;RPT0015;RPT0008;RPT0004,COH0001;COH0002;COH0004;COH0005,4,-0.8777194008757278,0.4597441432234667,-1.7788013636969469,0.023362561945491245,-1.9091475417645438,0.056243061249191435,1.2481344848166367,0.513625877970292,-1.7088691176235766,-2.5123061785203826,0.756867376768927,0.18600788922157818,False,0.513625877970292,3,-1.7088691176235766,-2.5123061785203826,0.756867376768927,0.18600788922157818,25.69724100382971,3,0.7274812713947176,88.32559495568842,inverse-variance DerSimonian-Laird random effects,"Hartung-Knapp t interval and two-sided t test with the modified Knapp-Hartung variance safeguard (SE=max[SE_HK, SE_DL])",normal interval and two-sided normal test
AH-ALPHA-01-PRIMARY,Shannon,Shannon,RPT0004,Smirnova et al. 2020,RPT0001;RPT0015;RPT0008;RPT0007,COH0001;COH0003;COH0004;COH0005,4,-0.9724206899682764,0.4734092875843731,-1.9002858435804126,-0.04455553635614007,-2.054080296840326,0.0399679207132066,1.1935974328904317,0.5172085694294725,-1.8801325953298564,-2.6184091908101714,0.6735678108736187,0.1566745402876224,False,0.5172085694294725,3,-1.8801325953298564,-2.6184091908101714,0.6735678108736187,0.1566745402876224,26.394288280401234,3,0.7754310618511641,88.6339045473425,inverse-variance DerSimonian-Laird random effects,"Hartung-Knapp t interval and two-sided t test with the modified Knapp-Hartung variance safeguard (SE=max[SE_HK, SE_DL])",normal interval and two-sided normal test
AH-ALPHA-03-PRIMARY,Chao1,Chao1,RPT0001,Duan et al. 2019,RPT0015;RPT0008,COH0004;COH0005,2,-1.1794128692768227,0.7520765046695502,-2.653455732047911,0.29462999349426555,-1.5682086356294787,0.11683244971296564,1.0000000000000002,0.7520765046695503,-1.5682086356294784,-10.735450914874745,8.3766251763211,0.3613827345213685,False,0.7520765046695503,1,-1.5682086356294784,-10.735450914874745,8.3766251763211,0.3613827345213685,5.240312584961974,1,0.9378663195592164,80.91716889428159,inverse-variance DerSimonian-Laird random effects,"Hartung-Knapp t interval and two-sided t test with the modified Knapp-Hartung variance safeguard (SE=max[SE_HK, SE_DL])",normal interval and two-sided normal test
AH-ALPHA-03-PRIMARY,Chao1,Chao1,RPT0015,Eom et al. 2023,RPT0001;RPT0008,COH0001;COH0004,2,-3.0011709181984974,0.8743953574774185,-4.714954327103263,-1.2873875092937312,-3.432281395977109,0.0005985261850605044,1.0000000000000004,0.8743953574774187,-3.4322813959771086,-14.111417350667208,8.109075514270215,0.18048395753499502,False,0.8743953574774187,1,-3.4322813959771086,-14.111417350667208,8.109075514270215,0.18048395753499502,5.387207931175906,1,1.2523238080752077,81.43750876566365,inverse-variance DerSimonian-Laird random effects,"Hartung-Knapp t interval and two-sided t test with the modified Knapp-Hartung variance safeguard (SE=max[SE_HK, SE_DL])",normal interval and two-sided normal test
AH-ALPHA-03-PRIMARY,Chao1,Chao1,RPT0008,Hasan et al. 2023,RPT0001;RPT0015,COH0001;COH0005,2,-2.1545700863352018,1.6380079139131916,-5.365006603996642,1.0558664313262391,-1.3153599979794641,0.18838894272502096,0.9999999999999999,1.6380079139131916,-1.3153599979794641,-22.96743399999057,18.658293827320165,0.4138205017297216,False,1.6380079139131916,1,-1.3153599979794641,-22.96743399999057,18.658293827320165,0.4138205017297216,50.66766402410327,1,5.260985748270936,98.02635464006336,inverse-variance DerSimonian-Laird random effects,"Hartung-Knapp t interval and two-sided t test with the modified Knapp-Hartung variance safeguard (SE=max[SE_HK, SE_DL])",normal interval and two-sided normal test
