model_id,outcome,source_outcome,analysis_role,member_reports,member_cohort_ids,k,pooled_smd,dl_standard_error,dl_ci_low,dl_ci_high,dl_z,dl_p_value,hk_scale,hk_unadjusted_standard_error,hk_unadjusted_t,hk_unadjusted_ci_low,hk_unadjusted_ci_high,hk_unadjusted_p_value,hk_variance_safeguard_applied,hk_standard_error,hk_df,hk_t,hk_ci_low,hk_ci_high,hk_p_value,q,q_df,tau2_dl,i2_pct,estimator,primary_inference,compatibility_inference
AH-ALPHA-01-PRIMARY,Shannon,Shannon,primary_cohort_deduplicated,RPT0001;RPT0015;RPT0008;RPT0007;RPT0004,COH0001;COH0002;COH0003;COH0004;COH0005,5,-0.937063854613051,0.3594248358482851,-1.6415235880249108,-0.23260412120119123,-2.607120491274537,0.009130722389213359,1.2264470019645914,0.39804527778703774,-2.354163978084923,-2.0422147177719667,0.16808700854586478,0.07815911877473414,False,0.39804527778703774,4,-2.354163978084923,-2.0422147177719667,0.16808700854586478,0.07815911877473414,26.550515313998634,4,0.5329903781007375,84.9343790405039,inverse-variance DerSimonian-Laird random effects,"Hartung-Knapp t interval and two-sided t test with the IntHout ad-hoc variance safeguard (SE=max[SE_HK, SE_DL])",normal interval and two-sided normal test
AH-ALPHA-01-GANESAN-REPLACEMENT,Shannon,Shannon,report_replacement,RPT0001;RPT0011;RPT0008;RPT0007;RPT0004,COH0001;COH0002;COH0003;COH0004;COH0005,5,-0.968288288938267,0.34543673302832395,-1.6453318446109597,-0.2912447332655743,-2.8030843172051205,0.0050616434445446765,1.2727000784127318,0.38970102949882685,-2.4846952295289793,-2.0502718047808246,0.11369522690429068,0.06786881847542303,False,0.38970102949882685,4,-2.4846952295289793,-2.0502718047808246,0.11369522690429068,0.06786881847542303,24.1296891295984,4,0.48349170595747687,83.42291117586986,inverse-variance DerSimonian-Laird random effects,"Hartung-Knapp t interval and two-sided t test with the IntHout ad-hoc variance safeguard (SE=max[SE_HK, SE_DL])",normal interval and two-sided normal test
AH-ALPHA-02-PRIMARY,ACE richness,Observed OTUs/ACE,primary_cohort_deduplicated,RPT0015;RPT0007,COH0003;COH0005,2,-0.673051806637808,0.17033081065859068,-1.006894060986157,-0.33920955228945904,-3.9514389911926506,7.76826770765559e-05,0.7789862548951473,0.15033431072251796,-4.477033907981954,-2.5832303375498187,1.2371267242742026,0.13990036825324204,True,0.17033081065859068,1,-3.9514389911926506,-2.837309959744462,1.4912063464688459,0.1577977978988594,0.7789862548951473,1,0.0,0.0,inverse-variance DerSimonian-Laird random effects,"Hartung-Knapp t interval and two-sided t test with the IntHout ad-hoc variance safeguard (SE=max[SE_HK, SE_DL])",normal interval and two-sided normal test
AH-ALPHA-02-GANESAN-REPLACEMENT,ACE richness,Observed OTUs/ACE,report_replacement,RPT0011;RPT0007,COH0003;COH0005,2,-0.5844210115721257,0.261500046485994,-1.0969516846402239,-0.07189033850402748,-2.2348791880747423,0.025425281228116804,1.0,0.261500046485994,-2.2348791880747423,-3.9070941407423563,2.7382521175981047,0.2678466631819443,False,0.261500046485994,1,-2.2348791880747423,-3.9070941407423563,2.7382521175981047,0.2678466631819443,2.0596661170806843,1,0.07279063984583127,51.44844148733323,inverse-variance DerSimonian-Laird random effects,"Hartung-Knapp t interval and two-sided t test with the IntHout ad-hoc variance safeguard (SE=max[SE_HK, SE_DL])",normal interval and two-sided normal test
AH-ALPHA-03-PRIMARY,Chao1,Chao1,primary_cohort_deduplicated,RPT0001;RPT0015;RPT0008,COH0001;COH0004;COH0005,3,-2.119049471524481,1.1526725204071702,-4.378246097491545,0.14014715444258297,-1.8383794477688666,0.06600651143017892,0.6899124919203794,0.9574209889925883,-2.2132891339202563,-6.238499503332865,2.000400560283903,0.15733271403969207,True,1.1526725204071702,2,-1.8383794477688666,-7.078599037961577,2.8405000949126142,0.2073917476849052,52.44463306000179,2,3.787241509114693,96.18645439331837,inverse-variance DerSimonian-Laird random effects,"Hartung-Knapp t interval and two-sided t test with the IntHout ad-hoc variance safeguard (SE=max[SE_HK, SE_DL])",normal interval and two-sided normal test
AH-ALPHA-04-PRIMARY,Simpson,Simpson,primary_cohort_deduplicated,RPT0001;RPT0008,COH0001;COH0004,2,1.0374489233346171,0.26354432650414794,0.5209115350566224,1.5539863116126118,3.9365253545622756,8.26698895044494e-05,0.050372854064055686,0.05914961883938094,17.539401668027303,0.2858817562947492,1.789016090374485,0.036257297537837685,True,0.26354432650414794,1,3.9365253545622756,-2.3111992462843483,4.386097092953582,0.1583713012469239,0.050372854064055686,1,0.0,0.0,inverse-variance DerSimonian-Laird random effects,"Hartung-Knapp t interval and two-sided t test with the IntHout ad-hoc variance safeguard (SE=max[SE_HK, SE_DL])",normal interval and two-sided normal test
