outcome,source_outcome,replacement_metric,primary_model_id,replacement_model_id,replaced_report_id,replacement_report_id,primary_pooled_smd,replacement_pooled_smd,absolute_smd_difference,primary_hk_ci_low,primary_hk_ci_high,replacement_hk_ci_low,replacement_hk_ci_high,primary_hk_p_value,replacement_hk_p_value
Shannon,Shannon,Shannon,AH-ALPHA-01-PRIMARY,AH-ALPHA-01-GANESAN-REPLACEMENT,RPT0015,RPT0011,-0.937063854613051,-0.968288288938267,0.031224434325216044,-2.0422147177719667,0.16808700854586478,-2.0502718047808246,0.11369522690429068,0.07815911877473414,0.06786881847542303
ACE richness,Observed OTUs/ACE,Observed OTUs,AH-ALPHA-02-PRIMARY,AH-ALPHA-02-GANESAN-REPLACEMENT,RPT0015,RPT0011,-0.673051806637808,-0.5844210115721257,0.08863079506568228,-2.837309959744462,1.4912063464688459,-3.9070941407423563,2.7382521175981047,0.1577977978988594,0.2678466631819443
