method,method_definition,taxon_key,vote_count,conflict_vote_count,direction_counts_json,direction_evaluations_json,selected_direction,signal_classification,minimum_support,maximum_opposition,policy_hash
family_without_comparison_taxonomy,rows collapse by declared family and immutable source taxon,Veillonella,1,0,"{""decreased_in_hcc"":0,""increased_in_hcc"":1}","{""decreased_in_hcc"":{""conflicts"":0,""opposition"":1,""passes"":false,""support"":0},""increased_in_hcc"":{""conflicts"":0,""opposition"":0,""passes"":false,""support"":1}}",,not_retained,2,0,be83edd85173b80836df62177bba3ecc92f880b000f8df3289132f8dda567090
provenance_rank_folded,"family, comparison and frozen target-rank lineage controls are applied",Acidaminococcus,1,0,"{""decreased_in_hcc"":1,""increased_in_hcc"":0}","{""decreased_in_hcc"":{""conflicts"":0,""opposition"":0,""passes"":false,""support"":1},""increased_in_hcc"":{""conflicts"":0,""opposition"":1,""passes"":false,""support"":0}}",,not_retained,2,0,be83edd85173b80836df62177bba3ecc92f880b000f8df3289132f8dda567090
provenance_rank_folded,"family, comparison and frozen target-rank lineage controls are applied",Acinetobacter,1,0,"{""decreased_in_hcc"":0,""increased_in_hcc"":1}","{""decreased_in_hcc"":{""conflicts"":0,""opposition"":1,""passes"":false,""support"":0},""increased_in_hcc"":{""conflicts"":0,""opposition"":0,""passes"":false,""support"":1}}",,not_retained,2,0,be83edd85173b80836df62177bba3ecc92f880b000f8df3289132f8dda567090
provenance_rank_folded,"family, comparison and frozen target-rank lineage controls are applied",Actinomyces,1,0,"{""decreased_in_hcc"":0,""increased_in_hcc"":1}","{""decreased_in_hcc"":{""conflicts"":0,""opposition"":1,""passes"":false,""support"":0},""increased_in_hcc"":{""conflicts"":0,""opposition"":0,""passes"":false,""support"":1}}",,not_retained,2,0,be83edd85173b80836df62177bba3ecc92f880b000f8df3289132f8dda567090
provenance_rank_folded,"family, comparison and frozen target-rank lineage controls are applied",Alloprevotella,1,0,"{""decreased_in_hcc"":1,""increased_in_hcc"":0}","{""decreased_in_hcc"":{""conflicts"":0,""opposition"":0,""passes"":false,""support"":1},""increased_in_hcc"":{""conflicts"":0,""opposition"":1,""passes"":false,""support"":0}}",,not_retained,2,0,be83edd85173b80836df62177bba3ecc92f880b000f8df3289132f8dda567090
provenance_rank_folded,"family, comparison and frozen target-rank lineage controls are applied",Anaerostipes,1,0,"{""decreased_in_hcc"":1,""increased_in_hcc"":0}","{""decreased_in_hcc"":{""conflicts"":0,""opposition"":0,""passes"":false,""support"":1},""increased_in_hcc"":{""conflicts"":0,""opposition"":1,""passes"":false,""support"":0}}",,not_retained,2,0,be83edd85173b80836df62177bba3ecc92f880b000f8df3289132f8dda567090
provenance_rank_folded,"family, comparison and frozen target-rank lineage controls are applied",Anaerotruncus,2,0,"{""decreased_in_hcc"":1,""increased_in_hcc"":1}","{""decreased_in_hcc"":{""conflicts"":0,""opposition"":1,""passes"":false,""support"":1},""increased_in_hcc"":{""conflicts"":0,""opposition"":1,""passes"":false,""support"":1}}",,not_retained,2,0,be83edd85173b80836df62177bba3ecc92f880b000f8df3289132f8dda567090
provenance_rank_folded,"family, comparison and frozen target-rank lineage controls are applied",Atopobium,1,0,"{""decreased_in_hcc"":0,""increased_in_hcc"":1}","{""decreased_in_hcc"":{""conflicts"":0,""opposition"":1,""passes"":false,""support"":0},""increased_in_hcc"":{""conflicts"":0,""opposition"":0,""passes"":false,""support"":1}}",,not_retained,2,0,be83edd85173b80836df62177bba3ecc92f880b000f8df3289132f8dda567090
provenance_rank_folded,"family, comparison and frozen target-rank lineage controls are applied",Blautia,2,0,"{""decreased_in_hcc"":0,""increased_in_hcc"":2}","{""decreased_in_hcc"":{""conflicts"":0,""opposition"":2,""passes"":false,""support"":0},""increased_in_hcc"":{""conflicts"":0,""opposition"":0,""passes"":true,""support"":2}}",increased_in_hcc,retained,2,0,be83edd85173b80836df62177bba3ecc92f880b000f8df3289132f8dda567090
provenance_rank_folded,"family, comparison and frozen target-rank lineage controls are applied",Butyricimonas,1,0,"{""decreased_in_hcc"":1,""increased_in_hcc"":0}","{""decreased_in_hcc"":{""conflicts"":0,""opposition"":0,""passes"":false,""support"":1},""increased_in_hcc"":{""conflicts"":0,""opposition"":1,""passes"":false,""support"":0}}",,not_retained,2,0,be83edd85173b80836df62177bba3ecc92f880b000f8df3289132f8dda567090
provenance_rank_folded,"family, comparison and frozen target-rank lineage controls are applied",Cetobacterium,1,0,"{""decreased_in_hcc"":1,""increased_in_hcc"":0}","{""decreased_in_hcc"":{""conflicts"":0,""opposition"":0,""passes"":false,""support"":1},""increased_in_hcc"":{""conflicts"":0,""opposition"":1,""passes"":false,""support"":0}}",,not_retained,2,0,be83edd85173b80836df62177bba3ecc92f880b000f8df3289132f8dda567090
provenance_rank_folded,"family, comparison and frozen target-rank lineage controls are applied",Cloacibacillus,1,0,"{""decreased_in_hcc"":1,""increased_in_hcc"":0}","{""decreased_in_hcc"":{""conflicts"":0,""opposition"":0,""passes"":false,""support"":1},""increased_in_hcc"":{""conflicts"":0,""opposition"":1,""passes"":false,""support"":0}}",,not_retained,2,0,be83edd85173b80836df62177bba3ecc92f880b000f8df3289132f8dda567090
provenance_rank_folded,"family, comparison and frozen target-rank lineage controls are applied",Clostridium XIVa,1,0,"{""decreased_in_hcc"":1,""increased_in_hcc"":0}","{""decreased_in_hcc"":{""conflicts"":0,""opposition"":0,""passes"":false,""support"":1},""increased_in_hcc"":{""conflicts"":0,""opposition"":1,""passes"":false,""support"":0}}",,not_retained,2,0,be83edd85173b80836df62177bba3ecc92f880b000f8df3289132f8dda567090
provenance_rank_folded,"family, comparison and frozen target-rank lineage controls are applied",Coprobacillus,1,0,"{""decreased_in_hcc"":1,""increased_in_hcc"":0}","{""decreased_in_hcc"":{""conflicts"":0,""opposition"":0,""passes"":false,""support"":1},""increased_in_hcc"":{""conflicts"":0,""opposition"":1,""passes"":false,""support"":0}}",,not_retained,2,0,be83edd85173b80836df62177bba3ecc92f880b000f8df3289132f8dda567090
provenance_rank_folded,"family, comparison and frozen target-rank lineage controls are applied",Desulfococcus,1,0,"{""decreased_in_hcc"":0,""increased_in_hcc"":1}","{""decreased_in_hcc"":{""conflicts"":0,""opposition"":1,""passes"":false,""support"":0},""increased_in_hcc"":{""conflicts"":0,""opposition"":0,""passes"":false,""support"":1}}",,not_retained,2,0,be83edd85173b80836df62177bba3ecc92f880b000f8df3289132f8dda567090
provenance_rank_folded,"family, comparison and frozen target-rank lineage controls are applied",Enterobacter,1,0,"{""decreased_in_hcc"":0,""increased_in_hcc"":1}","{""decreased_in_hcc"":{""conflicts"":0,""opposition"":1,""passes"":false,""support"":0},""increased_in_hcc"":{""conflicts"":0,""opposition"":0,""passes"":false,""support"":1}}",,not_retained,2,0,be83edd85173b80836df62177bba3ecc92f880b000f8df3289132f8dda567090
provenance_rank_folded,"family, comparison and frozen target-rank lineage controls are applied",Enterococcus,1,0,"{""decreased_in_hcc"":0,""increased_in_hcc"":1}","{""decreased_in_hcc"":{""conflicts"":0,""opposition"":1,""passes"":false,""support"":0},""increased_in_hcc"":{""conflicts"":0,""opposition"":0,""passes"":false,""support"":1}}",,not_retained,2,0,be83edd85173b80836df62177bba3ecc92f880b000f8df3289132f8dda567090
