minimum_support,maximum_opposition,target_taxon,selected_direction,signal_classification,family_count,conflict_family_count,direction_counts_json,policy_hash
1,2,Lachnospira,decreased_in_hcc,retained,1,0,"{""decreased_in_hcc"":1,""increased_in_hcc"":0}",22ccd5cb4c0f45a5e83ef951269d972c8016dd3399cc65dc1d44b43d5e1fd981
1,2,Lachnospiraceae UCG-001,decreased_in_hcc,retained,1,0,"{""decreased_in_hcc"":1,""increased_in_hcc"":0}",22ccd5cb4c0f45a5e83ef951269d972c8016dd3399cc65dc1d44b43d5e1fd981
1,2,Lactobacillus,increased_in_hcc,retained,1,0,"{""decreased_in_hcc"":0,""increased_in_hcc"":1}",22ccd5cb4c0f45a5e83ef951269d972c8016dd3399cc65dc1d44b43d5e1fd981
1,2,Lactococcus,increased_in_hcc,retained,1,0,"{""decreased_in_hcc"":0,""increased_in_hcc"":1}",22ccd5cb4c0f45a5e83ef951269d972c8016dd3399cc65dc1d44b43d5e1fd981
1,2,Leptotrichia,increased_in_hcc,retained,1,0,"{""decreased_in_hcc"":0,""increased_in_hcc"":1}",22ccd5cb4c0f45a5e83ef951269d972c8016dd3399cc65dc1d44b43d5e1fd981
1,2,Megamonas,decreased_in_hcc,retained,1,0,"{""decreased_in_hcc"":1,""increased_in_hcc"":0}",22ccd5cb4c0f45a5e83ef951269d972c8016dd3399cc65dc1d44b43d5e1fd981
1,2,Methanobrevibacter,decreased_in_hcc,retained,1,0,"{""decreased_in_hcc"":1,""increased_in_hcc"":0}",22ccd5cb4c0f45a5e83ef951269d972c8016dd3399cc65dc1d44b43d5e1fd981
1,2,Neisseria,increased_in_hcc,retained,1,0,"{""decreased_in_hcc"":0,""increased_in_hcc"":1}",22ccd5cb4c0f45a5e83ef951269d972c8016dd3399cc65dc1d44b43d5e1fd981
1,2,Odoribacter,decreased_in_hcc,retained,1,0,"{""decreased_in_hcc"":1,""increased_in_hcc"":0}",22ccd5cb4c0f45a5e83ef951269d972c8016dd3399cc65dc1d44b43d5e1fd981
1,2,Oribacterium,increased_in_hcc,retained,1,0,"{""decreased_in_hcc"":0,""increased_in_hcc"":1}",22ccd5cb4c0f45a5e83ef951269d972c8016dd3399cc65dc1d44b43d5e1fd981
1,2,Paraprevotella,increased_in_hcc,retained,1,0,"{""decreased_in_hcc"":0,""increased_in_hcc"":1}",22ccd5cb4c0f45a5e83ef951269d972c8016dd3399cc65dc1d44b43d5e1fd981
1,2,Phascolarctobacterium,increased_in_hcc,retained,1,0,"{""decreased_in_hcc"":0,""increased_in_hcc"":1}",22ccd5cb4c0f45a5e83ef951269d972c8016dd3399cc65dc1d44b43d5e1fd981
1,2,Prevotella,increased_in_hcc,retained,2,0,"{""decreased_in_hcc"":0,""increased_in_hcc"":2}",22ccd5cb4c0f45a5e83ef951269d972c8016dd3399cc65dc1d44b43d5e1fd981
1,2,Pyramidobacter,decreased_in_hcc,retained,1,0,"{""decreased_in_hcc"":1,""increased_in_hcc"":0}",22ccd5cb4c0f45a5e83ef951269d972c8016dd3399cc65dc1d44b43d5e1fd981
1,2,Raoultella,decreased_in_hcc,retained,1,0,"{""decreased_in_hcc"":1,""increased_in_hcc"":0}",22ccd5cb4c0f45a5e83ef951269d972c8016dd3399cc65dc1d44b43d5e1fd981
1,2,Rothia,increased_in_hcc,retained,1,0,"{""decreased_in_hcc"":0,""increased_in_hcc"":1}",22ccd5cb4c0f45a5e83ef951269d972c8016dd3399cc65dc1d44b43d5e1fd981
1,2,Ruminococcus 2,decreased_in_hcc,retained,1,0,"{""decreased_in_hcc"":1,""increased_in_hcc"":0}",22ccd5cb4c0f45a5e83ef951269d972c8016dd3399cc65dc1d44b43d5e1fd981
1,2,Sarcina,increased_in_hcc,retained,1,0,"{""decreased_in_hcc"":0,""increased_in_hcc"":1}",22ccd5cb4c0f45a5e83ef951269d972c8016dd3399cc65dc1d44b43d5e1fd981
1,2,Selenomonas,increased_in_hcc,retained,1,0,"{""decreased_in_hcc"":0,""increased_in_hcc"":1}",22ccd5cb4c0f45a5e83ef951269d972c8016dd3399cc65dc1d44b43d5e1fd981
1,2,Streptococcus,increased_in_hcc,retained,1,0,"{""decreased_in_hcc"":0,""increased_in_hcc"":1}",22ccd5cb4c0f45a5e83ef951269d972c8016dd3399cc65dc1d44b43d5e1fd981
1,2,Turicibacter,decreased_in_hcc,retained,1,0,"{""decreased_in_hcc"":1,""increased_in_hcc"":0}",22ccd5cb4c0f45a5e83ef951269d972c8016dd3399cc65dc1d44b43d5e1fd981
