voting_unit,comparison_policy,selected_pair_count,selected_pairs
report,ignore,3,Blautia|increased_in_hcc;Megamonas|decreased_in_hcc;Prevotella|increased_in_hcc
report,separate_votes,17,Acidaminococcus|decreased_in_hcc;Actinomyces|increased_in_hcc;Atopobium|increased_in_hcc;Blautia|increased_in_hcc;Cetobacterium|decreased_in_hcc;Coprobacillus|decreased_in_hcc;Desulfococcus|increased_in_hcc;Enterobacter|increased_in_hcc;Lactobacillus|increased_in_hcc;Lactococcus|increased_in_hcc;Leptotrichia|increased_in_hcc;Megamonas|decreased_in_hcc;Paraprevotella|increased_in_hcc;Prevotella|increased_in_hcc;Pyramidobacter|decreased_in_hcc;Turicibacter|decreased_in_hcc;Veillonella|increased_in_hcc
report,family_state,2,Blautia|increased_in_hcc;Prevotella|increased_in_hcc
provenance_group,ignore,2,Blautia|increased_in_hcc;Prevotella|increased_in_hcc
provenance_group,separate_votes,16,Acidaminococcus|decreased_in_hcc;Actinomyces|increased_in_hcc;Atopobium|increased_in_hcc;Blautia|increased_in_hcc;Cetobacterium|decreased_in_hcc;Coprobacillus|decreased_in_hcc;Desulfococcus|increased_in_hcc;Enterobacter|increased_in_hcc;Lactobacillus|increased_in_hcc;Lactococcus|increased_in_hcc;Leptotrichia|increased_in_hcc;Paraprevotella|increased_in_hcc;Prevotella|increased_in_hcc;Pyramidobacter|decreased_in_hcc;Turicibacter|decreased_in_hcc;Veillonella|increased_in_hcc
provenance_group,family_state,2,Blautia|increased_in_hcc;Prevotella|increased_in_hcc
