report_id,family_id,bioproject_or_accession,citation,doi,local_file,size_bytes,sha256,analysis_status,notes
HCC-R01,HCC-F01,GSE108847 / PRJNA428932,"Liu Q et al. Gut Pathog. 2019;11:1",10.1186/s13099-018-0281-6,Liu_2019_HBV_HCC.pdf,4594489,05334a8cd8626c8d7ee32543467dd4fca452d7be299c8316dccc1ec11df64a33,included,"Original analysis; 33 healthy, 35 HBV-HCC and 22 non-HBV/non-HCV HCC samples"
HCC-R02,HCC-F01,PRJNA428932,"Xiong W et al. Front Pharmacol. 2023;14:1197418",10.3389/fphar.2023.1197418,Liu_dataset_reanalysis_2023.pdf,4269351,881732176356099d9a5d2aa089dfe2a0d8dfdfecd9736b906821515201a1962a,included,"Reanalysis of the same 33/35/22 samples; the report's broader pharmacology analyses are outside this corpus"
HCC-R03,HCC-F02,SRP151835 / PRJNA478823,"Ni J et al. Front Microbiol. 2019;10:1458",10.3389/fmicb.2019.01458,Ni_2019_HBV_HCC.pdf,4302867,dae4cd756981f300db8e90fe5feb2e7d88ffe46a9fc835774a425fa7f4cb8490,included,"Independent primary-HCC cohort; stage-specific comparisons against 18 healthy controls"
HCC-R04,HCC-F03,PRJNA540574,"Zheng R et al. Cancer Med. 2020;9:4232-4250",10.1002/cam4.3045,Zheng_2020_HCC.pdf,4169078,4ac588abf32cd6c9b4dfa59cfdf122cd1cbcb903e6e5a759726aabceeab30c10,included,"Independent four-group cohort containing 20 healthy controls and 35 HCC cases"
HCC-S05,composite_public_datasets_plus_validation,PRJNA838083_and_multiple_public_projects,"Li L et al. Front Microbiol. 2022;13:916061",10.3389/fmicb.2022.916061,Li_2022_HBV_progression_meta.pdf,2647194,56e1d04471046c2bb00871609986c9d7b17f57c929a54adfa500b7afa46d10fd,screened_not_included,"Not assigned to one evidence family because its report-level estimates combine multiple public projects; retained as a family-mapping cross-check"
