arm,scope,directional_source_row_count,voting_row_count,taxonomy_abstention_row_count,disease_identifier_abstention_row_count,family_indeterminate_abstention_row_count
rawdata,quantitative_pool,1932,838,1094,0,0
literature,quantitative_pool,540,399,141,0,0
literature,unresolved_disease_identifier_audit,90,0,28,90,0
disbiome,strict_experiment_family_definition,5011,0,0,0,5011
disbiome,publication_family_proxy_sensitivity,5011,5011,0,0,0
